id	description	en	local
def_instrument_display_node_2_label		Electric	Electric
def_instrument_display_node_2_desc		Electrical power connection.	Electrical power connection.
def_instrument_display_node_3_label		Backlight	Backlight
def_instrument_display_node_3_desc		Enables the backlight when receiving an on signal.	Enables the backlight when receiving an on signal.
def_intercooler_name		Liquid-Liquid Heat Exchanger 2x2	Liquid-Liquid Heat Exchanger 2x2
def_intercooler_desc		A heat exchanger that averages heat between two liquid systems at a rate proportional to the component's size.	A heat exchanger that averages heat between two liquid systems at a rate proportional to the component's size.
def_intercooler_s_desc		A heat exchanger that averages heat between two liquid systems.	A heat exchanger that averages heat between two liquid systems.
def_intercooler_node_0_label		Fluid A In	Fluid A In
def_intercooler_node_0_desc		Input fluid port.	Input fluid port.
def_intercooler_node_1_label		Fluid A Out	Fluid A Out
def_intercooler_node_1_desc		Output fluid port.	Output fluid port.
def_intercooler_node_2_label		Fluid B In	Fluid B In
def_intercooler_node_2_desc		Input fluid port.	Input fluid port.
def_intercooler_node_3_label		Fluid B Out	Fluid B Out
def_intercooler_node_3_desc		Output fluid port.	Output fluid port.
def_intercooler_node_4_label		Temp A	Temp A
def_intercooler_node_4_desc		Compartment temperature.	Compartment temperature.
def_intercooler_node_5_label		Temp B	Temp B
def_intercooler_node_5_desc		Compartment temperature.	Compartment temperature.
def_intercooler_large_name		Liquid-Liquid Heat Exchanger 5x5	Liquid-Liquid Heat Exchanger 5x5
def_intercooler_large_desc		A heat exchanger that averages heat between two liquid systems at a rate proportional to the component's size.	A heat exchanger that averages heat between two liquid systems at a rate proportional to the component's size.
def_intercooler_large_s_desc		A heat exchanger that averages heat between two liquid systems.	A heat exchanger that averages heat between two liquid systems.
def_intercooler_large_node_0_label		Fluid A In	Fluid A In
def_intercooler_large_node_0_desc		Input fluid port.	Input fluid port.
def_intercooler_large_node_1_label		Fluid A Out	Fluid A Out
def_intercooler_large_node_1_desc		Output fluid port.	Output fluid port.
def_intercooler_large_node_2_label		Fluid B In	Fluid B In
def_intercooler_large_node_2_desc		Input fluid port.	Input fluid port.
def_intercooler_large_node_3_label		Fluid B Out	Fluid B Out
def_intercooler_large_node_3_desc		Output fluid port.	Output fluid port.
def_intercooler_large_node_4_label		Temp A	Temp A
def_intercooler_large_node_4_desc		Compartment temperature.	Compartment temperature.
def_intercooler_large_node_5_label		Temp B	Temp B
def_intercooler_large_node_5_desc		Compartment temperature.	Compartment temperature.
def_inventory_equipment_binoculars_name		Equipment inventory (Binoculars)	Equipment inventory (Binoculars)
def_inventory_equipment_binoculars_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to zoom in on faraway objects. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to zoom in on faraway objects. This equipment can be stored on the belt when not in use.
def_inventory_equipment_binoculars_s_desc		A small equipment storage unit containing a pair of binoculars.	A small equipment storage unit containing a pair of binoculars.
def_inventory_equipment_binoculars_node_0_label		Electric	Electric
def_inventory_equipment_binoculars_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_cable_name		Equipment inventory (Cable)	Equipment inventory (Cable)
def_inventory_equipment_cable_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the cable to an unoccupied electrical cable anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied electical cable anchor will retrieve the cable if the player has inventory space to hold it. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the cable to an unoccupied electrical cable anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied electical cable anchor will retrieve the cable if the player has inventory space to hold it. This equipment can be stored on the back when not in use.
def_inventory_equipment_cable_s_desc		A large equipment storage unit containing 20m of electrical cable.	A large equipment storage unit containing 20m of electrical cable.
def_inventory_equipment_cable_node_0_label		Electric	Electric
def_inventory_equipment_cable_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_compass_name		Equipment inventory (Compass)	Equipment inventory (Compass)
def_inventory_equipment_compass_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. When held, the red needle of the compass will point northwards. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. When held, the red needle of the compass will point northwards. This equipment can be stored on the belt when not in use.
def_inventory_equipment_compass_s_desc		A small equipment storage unit containing a compass.	A small equipment storage unit containing a compass.
def_inventory_equipment_compass_node_0_label		Electric	Electric
def_inventory_equipment_compass_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_defibrillator_name		Equipment inventory (Defibrillator)	Equipment inventory (Defibrillator)
def_inventory_equipment_defibrillator_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] on an incapacitated survivor to revive them. Survivors who have been left incapacitated for too long will expire and not be revivable. This equipment requires electric charge to function, and will recharge when placed into a powered large equipment storage unit. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] on an incapacitated survivor to revive them. Survivors who have been left incapacitated for too long will expire and not be revivable. This equipment requires electric charge to function, and will recharge when placed into a powered large equipment storage unit. This equipment can be stored on the back when not in use.
def_inventory_equipment_defibrillator_s_desc		A large equipment storage unit containing a defibrillator.	A large equipment storage unit containing a defibrillator.
def_inventory_equipment_defibrillator_node_0_label		Electric	Electric
def_inventory_equipment_defibrillator_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_fire_extinguisher_name		Equipment inventory (Fire Extinguisher)	Equipment inventory (Fire Extinguisher)
def_inventory_equipment_fire_extinguisher_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to spray a stream of water capable of extinguishing fires. This equipment has a limited water capacity and cannot be refilled. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to spray a stream of water capable of extinguishing fires. This equipment has a limited water capacity and cannot be refilled. This equipment can be stored on the back when not in use.
def_inventory_equipment_fire_extinguisher_s_desc		A large equipment storage unit containing a fire extinguisher.	A large equipment storage unit containing a fire extinguisher.
def_inventory_equipment_fire_extinguisher_node_0_label		Electric	Electric
def_inventory_equipment_fire_extinguisher_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_first_aid_name		Equipment inventory (First Aid Kit)	Equipment inventory (First Aid Kit)
def_inventory_equipment_first_aid_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to heal yourself, or heal a survivor highlighted by your crosshair. This equipment has limited uses, picking up additional first aid kits will replenish these uses. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to heal yourself, or heal a survivor highlighted by your crosshair. This equipment has limited uses, picking up additional first aid kits will replenish these uses. This equipment can be stored on the belt when not in use.
def_inventory_equipment_first_aid_s_desc		A small equipment storage unit containing a first aid kit.	A small equipment storage unit containing a first aid kit.
def_inventory_equipment_first_aid_node_0_label		Electric	Electric
def_inventory_equipment_first_aid_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_flare_name		Equipment inventory (Flare)	Equipment inventory (Flare)
def_inventory_equipment_flare_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to throw a red smoke flare which burns for a long time. This equipment has a limited uses, picking up additional flares will replenish these uses. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to throw a red smoke flare which burns for a long time. This equipment has a limited uses, picking up additional flares will replenish these uses. This equipment can be stored on the belt when not in use.
def_inventory_equipment_flare_s_desc		A small equipment storage unit containing flares.	A small equipment storage unit containing flares.
def_inventory_equipment_flare_node_0_label		Electric	Electric
def_inventory_equipment_flare_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_flaregun_name		Equipment inventory (Flaregun)	Equipment inventory (Flaregun)
def_inventory_equipment_flaregun_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to fire a red illumination flare that burns for a short time. Press [$[action_equipment_secondary]] to unload any flaregun round in the gun. Using a box of flaregun ammo will allow the gun to be reloaded with additional flaregun rounds. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to fire a red illumination flare that burns for a short time. Press [$[action_equipment_secondary]] to unload any flaregun round in the gun. Using a box of flaregun ammo will allow the gun to be reloaded with additional flaregun rounds. This equipment can be stored on the belt when not in use.
def_inventory_equipment_flaregun_s_desc		A small equipment storage unit containing a flaregun preloaded with 1 flaregun round.	A small equipment storage unit containing a flaregun preloaded with 1 flaregun round.
def_inventory_equipment_flaregun_node_0_label		Electric	Electric
def_inventory_equipment_flaregun_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_flaregun_ammo_name		Equipment inventory (Flaregun Ammo)	Equipment inventory (Flaregun Ammo)
def_inventory_equipment_flaregun_ammo_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to reload any unloaded flaregun in the players inventory. This equipment has a limited uses, picking up additional boxes of flaregun ammo will replenish these uses. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to reload any unloaded flaregun in the players inventory. This equipment has a limited uses, picking up additional boxes of flaregun ammo will replenish these uses. This equipment can be stored on the belt when not in use.
def_inventory_equipment_flaregun_ammo_s_desc		A small equipment storage unit containing a box flaregun ammo.	A small equipment storage unit containing a box flaregun ammo.
def_inventory_equipment_flaregun_ammo_node_0_label		Electric	Electric
def_inventory_equipment_flaregun_ammo_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_flashlight_name		Equipment inventory (Flashlight)	Equipment inventory (Flashlight)
def_inventory_equipment_flashlight_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the flashlight on or off. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the flashlight on or off. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.
def_inventory_equipment_flashlight_s_desc		A small equipment storage unit containing a flashlight.	A small equipment storage unit containing a flashlight.
def_inventory_equipment_flashlight_node_0_label		Electric	Electric
def_inventory_equipment_flashlight_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_geiger_counter_name		Equipment inventory (Radiation Detector)	Equipment inventory (Radiation Detector)
def_inventory_equipment_geiger_counter_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle radiation detection on or off. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle radiation detection on or off. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.
def_inventory_equipment_geiger_counter_s_desc		A small equipment storage unit containing a radiation detector.	A small equipment storage unit containing a radiation detector.
def_inventory_equipment_geiger_counter_node_0_label		Electric	Electric
def_inventory_equipment_geiger_counter_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_hose_name		Equipment inventory (Hose)	Equipment inventory (Hose)
def_inventory_equipment_hose_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the hose to an unoccupied fluid hose anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied fluid hose anchor will retrieve the hose if the player has inventory space to hold it. If the hose contains water, press [$[action_equipment_secondary]] to toggle open the hose valve and allow the water to flow freely. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the hose to an unoccupied fluid hose anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied fluid hose anchor will retrieve the hose if the player has inventory space to hold it. If the hose contains water, press [$[action_equipment_secondary]] to toggle open the hose valve and allow the water to flow freely. This equipment can be stored on the back when not in use.
def_inventory_equipment_hose_s_desc		A large equipment storage unit containing 20m of fluid hosing.	A large equipment storage unit containing 20m of fluid hosing.
def_inventory_equipment_hose_node_0_label		Electric	Electric
def_inventory_equipment_hose_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_night_vision_binoculars_name		Equipment inventory (Night Vision Binoculars)	Equipment inventory (Night Vision Binoculars)
def_inventory_equipment_night_vision_binoculars_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to zoom in on faraway objects. The night vision effect provides improved visibility in low light conditions, but greatly hinders visibility in daylight. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to zoom in on faraway objects. The night vision effect provides improved visibility in low light conditions, but greatly hinders visibility in daylight. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.
def_inventory_equipment_night_vision_binoculars_s_desc		A small equipment storage unit containing a pair of night vision binoculars.	A small equipment storage unit containing a pair of night vision binoculars.
def_inventory_equipment_night_vision_binoculars_node_0_label		Electric	Electric
def_inventory_equipment_night_vision_binoculars_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_oxygen_mask_name		Equipment inventory (Oxygen Mask)	Equipment inventory (Oxygen Mask)
def_inventory_equipment_oxygen_mask_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to recover your breath while underwater. This equipment has a limited air capacity, and will refill when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to recover your breath while underwater. This equipment has a limited air capacity, and will refill when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.
def_inventory_equipment_oxygen_mask_s_desc		A small equipment storage unit containing an oxygen mask.	A small equipment storage unit containing an oxygen mask.
def_inventory_equipment_oxygen_mask_node_0_label		Electric	Electric
def_inventory_equipment_oxygen_mask_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_radio_name		Equipment inventory (Radio)	Equipment inventory (Radio)
def_inventory_equipment_radio_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] transmit voice audio. Press [$[action_equipment_secondary]] to cycle between frequencies 0~8, or turn the radio off. When a frequncy is selected, the radio will transmit and receive voice audio on that frequency only. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] transmit voice audio. Press [$[action_equipment_secondary]] to cycle between frequencies 0~8, or turn the radio off. When a frequncy is selected, the radio will transmit and receive voice audio on that frequency only. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.
def_inventory_equipment_radio_s_desc		A small equipment storage unit containing a handheld radio.	A small equipment storage unit containing a handheld radio.
def_inventory_equipment_radio_node_0_label		Electric	Electric
def_inventory_equipment_radio_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_radio_signal_locator_name		Equipment inventory (Radio Signal Locator)	Equipment inventory (Radio Signal Locator)
def_inventory_equipment_radio_signal_locator_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the locator on or off. When active, the locator produces audible beeps that increase in frequency as the player nears an active transponder. The handheld locator has a shorter detection range than the vehicle mounted locator, but can narrow down the target location to a smaller area. This equipment requires electric charge to function, and will recharge when placed into a powered large equipment storage unit. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the locator on or off. When active, the locator produces audible beeps that increase in frequency as the player nears an active transponder. The handheld locator has a shorter detection range than the vehicle mounted locator, but can narrow down the target location to a smaller area. This equipment requires electric charge to function, and will recharge when placed into a powered large equipment storage unit. This equipment can be stored on the back when not in use.
def_inventory_equipment_radio_signal_locator_s_desc		A large equipment storage unit containing a handheld transponder locator.	A large equipment storage unit containing a handheld transponder locator.
def_inventory_equipment_radio_signal_locator_node_0_label		Electric	Electric
def_inventory_equipment_radio_signal_locator_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_remote_control_name		Equipment inventory (Remote Control Unit)	Equipment inventory (Remote Control Unit)
def_inventory_equipment_remote_control_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the remote control on or off. Press [$[action_equipment_secondary]] to cycle between frequencies 0~8. When active, the remote control uses the basic vehicle pilot seat input bindings and transmits them as composite radio data on the selected frequency. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the remote control on or off. Press [$[action_equipment_secondary]] to cycle between frequencies 0~8. When active, the remote control uses the basic vehicle pilot seat input bindings and transmits them as composite radio data on the selected frequency. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.
def_inventory_equipment_remote_control_s_desc		A small equipment storage unit containing a remote control unit.	A small equipment storage unit containing a remote control unit.
def_inventory_equipment_remote_control_node_0_label		Electric	Electric
def_inventory_equipment_remote_control_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_rope_name		Equipment inventory (Rope)	Equipment inventory (Rope)
def_inventory_equipment_rope_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the rope to any rope anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied rope anchor will retrieve the rope if the player has inventory space to hold it. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the rope to any rope anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied rope anchor will retrieve the rope if the player has inventory space to hold it. This equipment can be stored on the back when not in use.
def_inventory_equipment_rope_s_desc		A large equipment storage unit containing 20m of rope.	A large equipment storage unit containing 20m of rope.
def_inventory_equipment_rope_node_0_label		Electric	Electric
def_inventory_equipment_rope_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_strobe_light_name		Equipment inventory (Strobe Light)	Equipment inventory (Strobe Light)
def_inventory_equipment_strobe_light_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the strobe light on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the strobe light on if the player is submerged in water. The strobe light will continue to function when unequipped or discarded. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the strobe light on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the strobe light on if the player is submerged in water. The strobe light will continue to function when unequipped or discarded. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.
def_inventory_equipment_strobe_light_s_desc		A small equipment storage unit containing a strobe light.	A small equipment storage unit containing a strobe light.
def_inventory_equipment_strobe_light_node_0_label		Electric	Electric
def_inventory_equipment_strobe_light_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_strobe_light_infrared_name		Equipment inventory (Strobe Light, Infrared)	Equipment inventory (Strobe Light, Infrared)
def_inventory_equipment_strobe_light_infrared_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the strobe light on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the strobe light on if the player is submerged in water. The strobe light will continue to function when unequipped or discarded. The infrared strobe light flashes are only visible to infrared cameras. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the strobe light on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the strobe light on if the player is submerged in water. The strobe light will continue to function when unequipped or discarded. The infrared strobe light flashes are only visible to infrared cameras. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.
def_inventory_equipment_strobe_light_infrared_s_desc		A small equipment storage unit containing an infrared strobe light.	A small equipment storage unit containing an infrared strobe light.
def_inventory_equipment_strobe_light_infrared_node_0_label		Electric	Electric
def_inventory_equipment_strobe_light_infrared_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_transponder_name		Equipment inventory (Transponder)	Equipment inventory (Transponder)
def_inventory_equipment_transponder_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the transponder on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the transponder on if the player is submerged in water. The transponder will continue to function when unequipped or discarded. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the transponder on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the transponder on if the player is submerged in water. The transponder will continue to function when unequipped or discarded. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.
def_inventory_equipment_transponder_s_desc		A small equipment storage unit containing a handheld transponder.	A small equipment storage unit containing a handheld transponder.
def_inventory_equipment_transponder_node_0_label		Electric	Electric
def_inventory_equipment_transponder_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_underwater_welding_torch_name		Equipment inventory (Underwater Welding Torch)	Equipment inventory (Underwater Welding Torch)
def_inventory_equipment_underwater_welding_torch_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to repair damaged vehicle components highlighted by the players crosshair. The underwater welding torch holds less fuel than the standard welding torch, but can be operated while submerged in water. This equipment has a limited fuel capacity and cannot be refilled. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to repair damaged vehicle components highlighted by the players crosshair. The underwater welding torch holds less fuel than the standard welding torch, but can be operated while submerged in water. This equipment has a limited fuel capacity and cannot be refilled. This equipment can be stored on the back when not in use.
def_inventory_equipment_underwater_welding_torch_s_desc		A large equipment storage unit containing an underwater welding torch.	A large equipment storage unit containing an underwater welding torch.
def_inventory_equipment_underwater_welding_torch_node_0_label		Electric	Electric
def_inventory_equipment_underwater_welding_torch_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_equipment_welding_torch_name		Equipment inventory (Welding Torch)	Equipment inventory (Welding Torch)
def_inventory_equipment_welding_torch_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to repair damaged vehicle components highlighted by the players crosshair. This equipment has a limited fuel capacity and cannot be refilled. This equipment can be stored on the back when not in use.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to repair damaged vehicle components highlighted by the players crosshair. This equipment has a limited fuel capacity and cannot be refilled. This equipment can be stored on the back when not in use.
def_inventory_equipment_welding_torch_s_desc		A large equipment storage unit containing a welding torch.	A large equipment storage unit containing a welding torch.
def_inventory_equipment_welding_torch_node_0_label		Electric	Electric
def_inventory_equipment_welding_torch_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_medium_name		Large equipment inventory	Large equipment inventory
def_inventory_medium_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Only large handheld equipment can be stored in this unit. When connected to an electric power source, any rechargable equipment stored in the unit will drain a small amount of electricity until recharged to 100% capacity.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Only large handheld equipment can be stored in this unit. When connected to an electric power source, any rechargable equipment stored in the unit will drain a small amount of electricity until recharged to 100% capacity.
def_inventory_medium_s_desc		An empty large equipment storage unit.	An empty large equipment storage unit.
def_inventory_medium_node_0_label		Electric	Electric
def_inventory_medium_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_outfit_name		Outfit Inventory (Empty)	Outfit Inventory (Empty)
def_inventory_outfit_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected outfit. Only specialist outfits can be stored in this unit. When connected to an electric power source, any rechargable outfits stored in the unit will drain a small amount of electricity until recharged to 100% capacity.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected outfit. Only specialist outfits can be stored in this unit. When connected to an electric power source, any rechargable outfits stored in the unit will drain a small amount of electricity until recharged to 100% capacity.
def_inventory_outfit_s_desc		An empty outfit storage unit.	An empty outfit storage unit.
def_inventory_outfit_node_0_label		Electric	Electric
def_inventory_outfit_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_outfit_arctic_name		Outfit Inventory (Arctic)	Outfit Inventory (Arctic)
def_inventory_outfit_arctic_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will increase your temperature enough to survive in colder weather conditions. Its thermal effectiveness is reduced when wet.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will increase your temperature enough to survive in colder weather conditions. Its thermal effectiveness is reduced when wet.
def_inventory_outfit_arctic_s_desc		An outfit inventory unit containing specialist thermal clothing for surviving Arctic temperatures.	An outfit inventory unit containing specialist thermal clothing for surviving Arctic temperatures.
def_inventory_outfit_arctic_node_0_label		Electric	Electric
def_inventory_outfit_arctic_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_outfit_diving_name		Outfit Inventory (Diving)	Outfit Inventory (Diving)
def_inventory_outfit_diving_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will allow deep sea diving to a depth of 250m, and provides air for 10 minutes. The air tank can be refilled by storing the equipment in an outfit inventory unit.	Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will allow deep sea diving to a depth of 250m, and provides air for 10 minutes. The air tank can be refilled by storing the equipment in an outfit inventory unit.
def_inventory_outfit_diving_s_desc		An outfit inventory unit containing specialist diving equipment.	An outfit inventory unit containing specialist diving equipment.
def_inventory_outfit_diving_node_0_label		Electric	Electric
def_inventory_outfit_diving_node_0_desc		Electrical power connection.	Electrical power connection.
def_inventory_outfit_firefighter_name		Outfit Inventory (Firefighter)	Outfit Inventory (Firefighter)
