id	description	en	local
def_heat_exchanger_2_2_s_desc		A heat exchanger that averages heat between two air systems.	吸入する2つの気体の温度を均一にする熱交換器です.
def_heat_exchanger_2_2_node_0_label		Air A In	気体1吸入
def_heat_exchanger_2_2_node_0_desc		Input air port.	気体の吸入口です.
def_heat_exchanger_2_2_node_1_label		Air A Out	気体1排出
def_heat_exchanger_2_2_node_1_desc		Output air port.	気体の排出口です.
def_heat_exchanger_2_2_node_2_label		Air B In	気体2吸入
def_heat_exchanger_2_2_node_2_desc		Input air port.	気体の吸入口です.
def_heat_exchanger_2_2_node_3_label		Air B Out	気体2排出
def_heat_exchanger_2_2_node_3_desc		Output air port.	気体の排出口です.
def_heat_exchanger_2_2_node_4_label		Temp A	気体1の温度
def_heat_exchanger_2_2_node_4_desc		Compartment temperature.	熱交換器内の気体の温度を出力します.
def_heat_exchanger_2_2_node_5_label		Temp B	気体2の温度
def_heat_exchanger_2_2_node_5_desc		Compartment temperature.	熱交換器内の気体の温度を出力します.
def_heat_exchanger_5_5_name		Air-Air Heat Exchanger 2x5	気体-気体熱交換器 (2x5)
def_heat_exchanger_5_5_desc		A heat exchanger that averages heat between two air systems at a rate proportional to the component's size.	熱を交換できる能力は熱交換器の大きさに比例します.
def_heat_exchanger_5_5_s_desc		A heat exchanger that averages heat between two air systems.	吸入する2つの気体の温度を均一にする熱交換器です.
def_heat_exchanger_5_5_node_0_label		Air A In	気体1吸入
def_heat_exchanger_5_5_node_0_desc		Input air port.	気体の吸入口です.
def_heat_exchanger_5_5_node_1_label		Air A Out	気体1排出
def_heat_exchanger_5_5_node_1_desc		Output air port.	気体の排出口です.
def_heat_exchanger_5_5_node_2_label		Air B In	気体2吸入
def_heat_exchanger_5_5_node_2_desc		Input air port.	気体の吸入口です.
def_heat_exchanger_5_5_node_3_label		Air B Out	気体2排出
def_heat_exchanger_5_5_node_3_desc		Output air port.	気体の排出口です.
def_heat_exchanger_5_5_node_4_label		Temp A	気体1の温度
def_heat_exchanger_5_5_node_4_desc		Compartment temperature.	熱交換器内の気体の温度を出力します.
def_heat_exchanger_5_5_node_5_label		Temp B	気体2の温度
def_heat_exchanger_5_5_node_5_desc		Compartment temperature.	熱交換器内の気体の温度を出力します.
def_heat_exchanger_9_9_name		Air-Air Heat Exchanger 3x9	気体-気体熱交換器 (3x9)
def_heat_exchanger_9_9_desc		A heat exchanger that averages heat between two air systems at a rate proportional to the component's size.	熱を交換できる能力は熱交換器の大きさに比例します.
def_heat_exchanger_9_9_s_desc		A heat exchanger that averages heat between two air systems.	吸入する2つの気体の温度を均一にする熱交換器です.
def_heat_exchanger_9_9_node_0_label		Air A In	気体1吸入
def_heat_exchanger_9_9_node_0_desc		Input air port.	気体の吸入口です.
def_heat_exchanger_9_9_node_1_label		Air A Out	気体1排出
def_heat_exchanger_9_9_node_1_desc		Output air port.	気体の排出口です.
def_heat_exchanger_9_9_node_2_label		Air B In	気体2吸入
def_heat_exchanger_9_9_node_2_desc		Input air port.	気体の吸入口です.
def_heat_exchanger_9_9_node_3_label		Air B Out	気体2排出
def_heat_exchanger_9_9_node_3_desc		Output air port.	気体の排出口です.
def_heat_exchanger_9_9_node_4_label		Temp A	気体1の温度
def_heat_exchanger_9_9_node_4_desc		Compartment temperature.	熱交換器内の気体の温度を出力します.
def_heat_exchanger_9_9_node_5_label		Temp B	気体2の温度
def_heat_exchanger_9_9_node_5_desc		Compartment temperature.	熱交換器内の気体の温度を出力します.
def_heavy_rotor_name		Heavy Rotor	ローター (重)
def_heavy_rotor_desc		Three standard number inputs control the rotor's swashplate, allowing you to affect the pitch, roll, and collective rotor angle. Power received from an engine affects the amount of up and down force that the rotor will generate.	3つの数値信号でローター板を制御し, ピッチ, ロール, コレクティブを制御します. 得られる推進力の大きさはこのローターを回すエンジンの動力の大きさに依存します. 水中では推進力が低下します.
def_heavy_rotor_s_desc		A heavy duty rotor with thrust vectoring.	推進力を得られる重量型のローターです.
def_heavy_rotor_node_0_label		Roll	ロール
def_heavy_rotor_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	ローターのロール (乗り物の左右方向の回転) を制御する-1から1の範囲の数値信号です.
def_heavy_rotor_node_1_label		Pitch	ピッチ
def_heavy_rotor_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	ローターのピッチ (乗り物の前後方向の回転) を制御する-1から1の範囲の数値信号です.
def_heavy_rotor_node_2_label		RPS	動力
def_heavy_rotor_node_2_desc		Receives power generated by an engine.	エンジンからの動力を受け取ります.
def_heavy_rotor_node_3_label		Collective	コレクティブ
def_heavy_rotor_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	ローターのコレクティブ (ローターが発生させる浮力の量) を制御する-1から1の範囲の数値信号です.
def_heavy_rotor_large_name		Heavy Large Rotor	ローター (重, 大)
def_heavy_rotor_large_desc		Three standard number inputs control the rotor's swashplate, allowing you to affect the pitch, roll, and collective rotor angle. Power received from an engine affects the amount of up and down force that the rotor will generate.	3つの数値信号でローター板を制御し, ピッチ, ロール, コレクティブを制御します. 得られる推進力の大きさはこのローターを回すエンジンの動力の大きさに依存します. 水中では推進力が低下します.
def_heavy_rotor_large_s_desc		A large heavy duty rotor with thrust vectoring.	推進力を得られる大型で重量型のローターです.
def_heavy_rotor_large_node_0_label		Roll	ロール
def_heavy_rotor_large_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	ローターのロール (乗り物の左右方向の回転) を制御する-1から1の範囲の数値信号です.
def_heavy_rotor_large_node_1_label		Pitch	ピッチ
def_heavy_rotor_large_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	ローターのピッチ (乗り物の前後方向の回転) を制御する-1から1の範囲の数値信号です.
def_heavy_rotor_large_node_2_label		RPS	動力
def_heavy_rotor_large_node_2_desc		Receives power generated by an engine.	エンジンからの動力を受け取ります.
def_heavy_rotor_large_node_3_label		Collective	コレクティブ
def_heavy_rotor_large_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	ローターのコレクティブ (ローターが発生させる浮力の量) を制御する-1から1の範囲の数値信号です.
def_huge_rotor_name		Huge Rotor	ローター (特大)
def_huge_rotor_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	3つの数値信号でローター板を制御し, ピッチ, ロール, コレクティブを制御します. 得られる推進力の大きさはこのローターを回すエンジンの動力の大きさに依存します. 水中では推進力が低下します.
def_huge_rotor_s_desc		A large helicopter rotor with controllable pitch and roll.	推進力を得られる特大型のローターです.
def_huge_rotor_node_0_label		Roll	ロール
def_huge_rotor_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	ローターのロール (乗り物の左右方向の回転) を制御する-1から1の範囲の数値信号です.
def_huge_rotor_node_1_label		Pitch	ピッチ
def_huge_rotor_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	ローターのピッチ (乗り物の前後方向の回転) を制御する-1から1の範囲の数値信号です.
def_huge_rotor_node_2_label		RPS	動力
def_huge_rotor_node_2_desc		Receives power generated by an engine.	エンジンからの動力を受け取ります.
def_huge_rotor_node_3_label		Collective	コレクティブ
def_huge_rotor_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	ローターのコレクティブ (ローターが発生させる浮力の量) を制御する-1から1の範囲の数値信号です.
def_humidity_sensor_name		Humidity Sensor	湿度計
def_humidity_sensor_desc		The reading can be read from the sensor's number output and is measured from 0 (no fog) to 1 (max fog).	数値信号の出力から測定数値を読み取れます. 範囲は0 (霧最小) から1 (霧最大) です.
def_humidity_sensor_s_desc		A humidity sensor for measuring the current fog and visibility meteorological conditions.	現在の霧量を測定する湿度計です.
def_humidity_sensor_node_0_label		Humidity Factor	霧量
def_humidity_sensor_node_0_desc		The level of humidity in the air, relating to the fog visibility.	霧量を0 (霧最小) から1 (霧最大) の範囲で出力します.
def_impact_sensor_name		Impact Sensor	衝撃計
def_impact_sensor_desc		Setting the impact threshold property will tune the sensitivity for impacts. When the instant change in velocity from an impact exceeds the threshold, an on signal is produced.	設定された閾値以上の速度の急激な変化があった場合はオン信号を出力します. 閾値はプロパティウィンドウから設定できます.
def_impact_sensor_s_desc		A sensor activated by a sudden change in velocity.	急激な速度の変化を検出する衝撃計です.
def_impact_sensor_node_0_label		Output	衝撃検出
def_impact_sensor_node_0_desc		Outputs an on signal when instant change in velocity exceeds the impact threshold.	設定された閾値以上の速度の急激な変化があった場合はオン信号を出力します.
def_indicator_name		Indicator Light	表示灯
def_indicator_desc			
def_indicator_s_desc		A simple light that can be used as an indicator in logic systems.	論理システムの表示灯として使用する小さな表示灯です.
def_indicator_node_0_label		Indicator Light	点灯
def_indicator_node_0_desc		Switches the light on when receiving an on signal.	オン信号を受け取るとはライトを光らせます.
def_indicator_node_1_label		Electric	電力
def_indicator_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_indicator_rgb_name		Indicator Light (RGB)	表示灯 (動的)
def_indicator_rgb_desc		Three channels of the composite input can be used to set the red, green and blue components of the indicator's color using numbers between 0 and 1. The light can also operate in HSV mode, where the 3 inputs correspond to the hue, saturation and value (brightness) of the color between 0 and 1. The color mode and input channels can be customised by selecting this component with the select tool.	複合信号の数値チャンネルを3つ使用してRGB色 (赤, 緑, 青) をそれぞれ指定します. それぞれの数値信号の範囲は0から1です. また, HSVでも指定可能です. その場合は色相, 彩度, 明度を指定します. カラーモードと使用する複合信号の数値チャンネルはプロパティウィンドウから設定できます.
def_indicator_rgb_s_desc		An advanced indicator that can be controlled using a microcontroller.	色を動的に変化させられる小さな表示灯です.
def_indicator_rgb_node_0_label		Color Data	色の設定
def_indicator_rgb_node_0_desc		Composite link containing the indicator's color data.	3つの数値チャンネルを使用してライトの色を設定します.
def_indicator_rgb_node_1_label		Electric	電力
def_indicator_rgb_node_1_desc		Electrical power connection.	電力網から電力を供給します.
def_instrument_display_name		Instrument Panel	計器板
def_instrument_display_desc		The 4 instruments can be selected in the properties window. Each type of instrument has options for choosing the composite channels that they read from or write to. Composite signals are bridged from the input node to the output node to enable displays to be chained together. Instruments marked as '(On/Off)' require multiple on/off signals to control each of their segments individually.	信号の入出力は複合信号で行います. 各計器では入出力する複合信号のチャンネルを設定できます. 入力された複合信号は必要に応じて書き換えられた後, そのまま出力され, 複数の計器板に連続で信号を接続できます. オン/オフ信号でセグメント表示を制御する場合は複数のオン/オフチャンネルを使用します (選択されたチャンネルから数えられます.).
def_instrument_display_s_desc		A customisable panel that can have up to 4 different instruments, controlled by a composite signal from a microcontroller.	自由に変更可能な計器を4つまで搭載できる部品です.
def_instrument_display_node_0_label		Out Signal	複合信号出力
def_instrument_display_node_0_desc		Output signal containing data set by buttons on the display.	操作された計器の信号を含んだ複合信号が出力されます.
def_instrument_display_node_1_label		In Signal	複合信号入力
def_instrument_display_node_1_desc		Input signal containing data to be displayed.	計器に表示する信号を含んだ複合信号を入力します.
def_instrument_display_node_2_label		Electric	電力
def_instrument_display_node_2_desc		Electrical power connection.	電力網から電力を供給します.
def_instrument_display_node_3_label		Backlight	バックライト
def_instrument_display_node_3_desc		Enables the backlight when receiving an on signal.	オン信号を受け取るとバックライトが点灯します.
def_intercooler_name		Liquid-Liquid Heat Exchanger 2x2	液体-液体熱交換器 (2x2)
def_intercooler_desc		A heat exchanger that averages heat between two liquid systems at a rate proportional to the component's size.	熱を交換できる能力は熱交換器の大きさに比例します.
def_intercooler_s_desc		A heat exchanger that averages heat between two liquid systems.	吸入する2つの液体の温度を均一にする熱交換器です.
def_intercooler_node_0_label		Fluid A In	液体1吸入
def_intercooler_node_0_desc		Input fluid port.	液体の吸入口です.
def_intercooler_node_1_label		Fluid A Out	液体1排出
def_intercooler_node_1_desc		Output fluid port.	液体の排出口です.
def_intercooler_node_2_label		Fluid B In	液体2吸入
def_intercooler_node_2_desc		Input fluid port.	液体の吸入口です.
def_intercooler_node_3_label		Fluid B Out	液体2排出
def_intercooler_node_3_desc		Output fluid port.	液体の排出口です.
def_intercooler_node_4_label		Temp A	液体1の温度
def_intercooler_node_4_desc		Compartment temperature.	熱交換器内の液体の温度を出力します.
def_intercooler_node_5_label		Temp B	液体2の温度
def_intercooler_node_5_desc		Compartment temperature.	熱交換器内の液体の温度を出力します.
def_intercooler_large_name		Liquid-Liquid Heat Exchanger 5x5	液体-液体熱交換器 (5x5)
def_intercooler_large_desc		A heat exchanger that averages heat between two liquid systems at a rate proportional to the component's size.	熱を交換できる能力は熱交換器の大きさに比例します.
def_intercooler_large_s_desc		A heat exchanger that averages heat between two liquid systems.	吸入する2つの液体の温度を均一にする熱交換器です.
def_intercooler_large_node_0_label		Fluid A In	液体1吸入
def_intercooler_large_node_0_desc		Input fluid port.	液体の吸入口です.
def_intercooler_large_node_1_label		Fluid A Out	液体1排出
def_intercooler_large_node_1_desc		Output fluid port.	液体の排出口です.
def_intercooler_large_node_2_label		Fluid B In	液体2吸入
def_intercooler_large_node_2_desc		Input fluid port.	液体の吸入口です.
def_intercooler_large_node_3_label		Fluid B Out	液体2排出
def_intercooler_large_node_3_desc		Output fluid port.	液体の排出口です.
def_intercooler_large_node_4_label		Temp A	液体1の温度
def_intercooler_large_node_4_desc		Compartment temperature.	熱交換器内の液体の温度を出力します.
def_intercooler_large_node_5_label		Temp B	液体2の温度
def_intercooler_large_node_5_desc		Compartment temperature.	熱交換器内の液体の温度を出力します.
def_inventory_equipment_binoculars_name		Equipment inventory (Binoculars)	保管庫 (小, 双眼鏡)
def_inventory_equipment_binoculars_desc		Hold [$[action_equipment_use]] to zoom in on faraway objects.	[$[action_equipment_use]] を押してズームインし, 遠くを見ます.
def_inventory_equipment_binoculars_s_desc		A small equipment storage unit containing a pair of binoculars.	双眼鏡が保管されている小型の保管庫です.
def_inventory_equipment_binoculars_node_0_label		Electric	電力
def_inventory_equipment_binoculars_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_c4_name		Equipment inventory (C4 Explosive)	保管庫 (小, C4爆弾)
def_inventory_equipment_c4_desc		Press [$[action_equipment_use]] to arm and plant the C-4 explosive on a nearby surface.	[$[action_equipment_use]] を押してC4爆弾を設置します.
def_inventory_equipment_c4_s_desc		A small equipment storage unit containing C-4 plastic explosive.	C4爆弾が保管されている小型の保管庫です.
def_inventory_equipment_c4_node_0_label		Electric	電力
def_inventory_equipment_c4_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_c4_detonator_name		Equipment inventory (C4 Detonator)	保管庫 (小, C4爆弾起爆装置)
def_inventory_equipment_c4_detonator_desc		Press [$[action_equipment_use]] to detonate armed C-4 explosives.	[$[action_equipment_use]] を押して設置したC4爆弾を爆破します.
def_inventory_equipment_c4_detonator_s_desc		A small equipment storage unit containing a C-4 remote detonator.	C4爆弾起爆装置が保管されている小型の保管庫です.
def_inventory_equipment_c4_detonator_node_0_label		Electric	電力
def_inventory_equipment_c4_detonator_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_cable_name		Equipment inventory (Cable)	保管庫 (中, 電気ケーブル)
def_inventory_equipment_cable_desc		Press [$[action_equipment_use]] to attach the cable to an unoccupied electrical cable anchor. Interacting with [$[action_interact_left]]/[$[action_interact_right]] on an occupied electical cable anchor will retrieve the cable if the player has inventory space to hold it.	[$[action_equipment_use]] を押してアンカー (電力) に電気ケーブルを差し込みます. 既に電気ケーブルが接続されているアンカー (電力) に [$[action_interact_left]]/[$[action_interact_right]] を押すと電気ケーブルを取り外し, プレイヤーのインベントリに空きがあるならそこにしまいます.
def_inventory_equipment_cable_s_desc		A large equipment storage unit containing 20m of electrical cable.	20メートルの電気ケーブルが保管されている中型の保管庫です.
def_inventory_equipment_cable_node_0_label		Electric	電力
def_inventory_equipment_cable_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_compass_name		Equipment inventory (Compass)	保管庫 (小, コンパス)
def_inventory_equipment_compass_desc		When held, the red needle of the compass will point northwards. The compass also displays a bearing on the equipment hotbar UI.	手に持つと, 針が北の向きを示し, 現在向いている方角を度数法で表示します.
def_inventory_equipment_compass_s_desc		A small equipment storage unit containing a compass.	コンパスが保管されている小型の保管庫です.
def_inventory_equipment_compass_node_0_label		Electric	電力
def_inventory_equipment_compass_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_defibrillator_name		Equipment inventory (Defibrillator)	保管庫 (中, 自動体外式除細動器)
def_inventory_equipment_defibrillator_desc		Press [$[action_equipment_use]] on an incapacitated survivor to revive them. Requires electric charge to function, and will recharge when placed into a powered large equipment storage unit.	[$[action_equipment_use]] を押して意識不明のプレイヤーや生存者を蘇生します. 蘇生が遅れると助けることができなくなります. 使用できる回数には限りがあり, 使用後は通電している保管庫で充電する必要があります.
def_inventory_equipment_defibrillator_s_desc		A large equipment storage unit containing a defibrillator.	自動体外式除細動器が保管されている中型の保管庫です.
def_inventory_equipment_defibrillator_node_0_label		Electric	電力
def_inventory_equipment_defibrillator_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_dog_whistle_name		Equipment inventory (Dog Whistle)	保管庫 (小, 犬笛)
def_inventory_equipment_dog_whistle_desc		Hold [$[action_equipment_use]] to sound the whistle. Nearby dogs will respond to certain whistle patterns. 1 long burst = Wait. 2 short bursts = Follow.	[$[action_equipment_use]]を長押しして笛を吹きます. 付近の犬が笛のパターンに応じて反応します.\n\n1回長く吹く = 待て\n2回短く吹く = ついてこい
def_inventory_equipment_dog_whistle_s_desc		A small equipment storage unit containing a dog whistle.	犬笛が保管されている小型の保管庫です.
def_inventory_equipment_dog_whistle_node_0_label		Electric	電力
def_inventory_equipment_dog_whistle_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_fire_extinguisher_name		Equipment inventory (Fire Extinguisher)	保管庫 (中, 消火器)
def_inventory_equipment_fire_extinguisher_desc		Hold [$[action_equipment_use]] to spray a stream of water capable of extinguishing fires. This equipment has a limited water capacity and cannot be refilled.	[$[action_equipment_use]] を押して消火剤を放出し, 消火活動を行います. 使用できる時間には限りがあり, 乗り物を作業台に戻すまで補充できません.
def_inventory_equipment_fire_extinguisher_s_desc		A large equipment storage unit containing a fire extinguisher.	消火器が保管されている中型の保管庫です.
def_inventory_equipment_fire_extinguisher_node_0_label		Electric	電力
def_inventory_equipment_fire_extinguisher_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_first_aid_name		Equipment inventory (First Aid Kit)	保管庫 (小, 治療セット)
def_inventory_equipment_first_aid_desc		Press [$[action_equipment_use]] to heal yourself, or heal a survivor highlighted by your crosshair.	[$[action_equipment_use]] を押して自分自身または, 視点を合わせてるプレイヤーや生存者の体力を回復します.
def_inventory_equipment_first_aid_s_desc		A small equipment storage unit containing a first aid kit.	治療セットが保管されている小型の保管庫です.
def_inventory_equipment_first_aid_node_0_label		Electric	電力
def_inventory_equipment_first_aid_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_fishing_rod_name		Equipment inventory (Fishing Rod)	保管庫 (中, 釣り竿)
def_inventory_equipment_fishing_rod_desc		Hold and release [$[action_equipment_use]] to load and cast the fishing line. Hold [$[action_equipment_use]] to reel in the fishing line. Press [$[action_equipment_secondary]] before casting to cycle the sink depth of the hook.	[$[action_equipment_use]] を長押しし, 離すことで釣り針を取り付け, 竿をキャストします. [$[action_equipment_use]] を長押ししてリールを巻きます. [$[action_equipment_secondary]] を押すと釣り針が沈む深さを切り替えます.
def_inventory_equipment_fishing_rod_s_desc		A large equipment storage unit containing a fishing rod.	釣り竿が保管されている中型の保管庫です.
def_inventory_equipment_fishing_rod_node_0_label		Electric	電力
def_inventory_equipment_fishing_rod_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_flare_name		Equipment inventory (Flare)	保管庫 (小, 発煙筒)
def_inventory_equipment_flare_desc		Press [$[action_equipment_use]] to throw a red smoke flare which burns for a long time.	[$[action_equipment_use]] を押して発煙筒を投げ, 赤い煙が長時間発生します.
def_inventory_equipment_flare_s_desc		A small equipment storage unit containing flares.	発煙筒が保管されている小型の保管庫です.
def_inventory_equipment_flare_node_0_label		Electric	電力
def_inventory_equipment_flare_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_flaregun_name		Equipment inventory (Flaregun)	保管庫 (小, 照明銃)
def_inventory_equipment_flaregun_desc		Press [$[action_equipment_use]] to fire a red illumination flare that burns for a short time, and [$[action_equipment_secondary]] to reload.	[$[action_equipment_use]] を押して照明弾を発射し, 赤い光を短時間発生させます. [$[action_equipment_secondary]] を押して弾を補充します.
def_inventory_equipment_flaregun_s_desc		A small equipment storage unit containing a flaregun preloaded with 1 flaregun round.	1発の弾が入っている照明銃が保管されている小型の保管庫です.
def_inventory_equipment_flaregun_node_0_label		Electric	電力
def_inventory_equipment_flaregun_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_flaregun_ammo_name		Equipment inventory (Flaregun Ammo)	保管庫 (小, 照明銃の弾薬箱)
def_inventory_equipment_flaregun_ammo_desc		Press [$[action_equipment_use]] to reload an equipped flaregun.	[$[action_equipment_use]] を押してインベントリの照明銃に弾を補充します.
def_inventory_equipment_flaregun_ammo_s_desc		A small equipment storage unit containing a box flaregun ammo.	照明銃の弾薬箱が保管されている小型の保管庫です.
def_inventory_equipment_flaregun_ammo_node_0_label		Electric	電力
def_inventory_equipment_flaregun_ammo_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_flashlight_name		Equipment inventory (Flashlight)	保管庫 (小, 懐中電灯)
def_inventory_equipment_flashlight_desc		Press [$[action_equipment_use]] to toggle the flashlight on or off. Requires electric charge to function, and will recharge when placed into a powered small equipment storage unit.	[$[action_equipment_use]] を押して懐中電灯のオン/オフを切り替えます. 使用するには充電が必要であり, 使用後は通電している保管庫で充電する必要があります.
def_inventory_equipment_flashlight_s_desc		A small equipment storage unit containing a flashlight.	懐中電灯が保管されている小型の保管庫です.
def_inventory_equipment_flashlight_node_0_label		Electric	電力
def_inventory_equipment_flashlight_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_geiger_counter_name		Equipment inventory (Radiation Detector)	保管庫 (小, 放射線測定器)
def_inventory_equipment_geiger_counter_desc		Press [$[action_equipment_use]] to toggle radiation detection on or off. Requires electric charge to function, and will recharge when placed into a powered small equipment storage unit.	[$[action_equipment_use]] を押して放射線測定器のオン/オフを切り替えます. 使用するには充電が必要であり, 使用後は通電している保管庫で充電する必要があります.
def_inventory_equipment_geiger_counter_s_desc		A small equipment storage unit containing a radiation detector.	放射線測定器が保管されている小型の保管庫です.
def_inventory_equipment_geiger_counter_node_0_label		Electric	電力
def_inventory_equipment_geiger_counter_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_glowstick_name		Equipment inventory (Glowstick)	保管庫 (小, 蛍光棒)
def_inventory_equipment_glowstick_desc		Press [$[action_equipment_use]] to throw a glowstick which emits light for an extended time. The editor paint tool can be used to set the glowstick hue.	[$[action_equipment_use]] を押して蛍光棒を投げ, 一定時間発光します. 着色モードで蛍光棒の発光色を変更できます.
def_inventory_equipment_glowstick_s_desc		A small equipment storage unit containing glowsticks.	蛍光棒が保管されている小型の保管庫です.
def_inventory_equipment_glowstick_node_0_label		Electric	電力
def_inventory_equipment_glowstick_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_grenade_name		Equipment Inventory (Hand Grenade)	保管庫 (小, 手榴弾)
def_inventory_equipment_grenade_desc		Press [$[action_equipment_use]] to throw a hand grenade, which will detonate after a short delay.	[$[action_equipment_use]]を押して手榴弾を投擲します. 投擲後しばらくすると爆発します.
def_inventory_equipment_grenade_s_desc		A small equipment storage unit containing a hand grenade.	手榴弾が保管されている小型の保管庫です.
def_inventory_equipment_grenade_node_0_label		Electric	電力
def_inventory_equipment_grenade_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_hose_name		Equipment inventory (Hose)	保管庫 (中, ホース)
def_inventory_equipment_hose_desc		Press [$[action_equipment_use]] to attach the hose to an unoccupied fluid hose anchor. Interacting with [$[action_interact_left]]/[$[action_interact_right]] on an occupied fluid hose anchor will retrieve the hose if the player has inventory space to hold it. If the hose contains water, press [$[action_equipment_secondary]] to toggle open the hose valve and allow the water to flow freely.	$[action_equipment_use]] を押してアンカー (流体) にホースを差し込みます. 既にホースが接続されているアンカー (流体) に [$[action_interact_left]]/[$[action_interact_right]] を押すとホースを取り外し, プレイヤーのインベントリに空きがあるならそこにしまいます. ホースに通水している時は [$[action_equipment_secondary]] を押して放水できます.
def_inventory_equipment_hose_s_desc		A large equipment storage unit containing 20m of fluid hosing.	20メートルのホースが保管されている中型の保管庫です.
def_inventory_equipment_hose_node_0_label		Electric	電力
def_inventory_equipment_hose_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_night_vision_binoculars_name		Equipment inventory (Night Vision Binoculars)	保管庫 (小, 暗視ゴーグル)
def_inventory_equipment_night_vision_binoculars_desc		Hold [$[action_equipment_use]] to zoom in on faraway objects. The night vision effect provides improved visibility in low light conditions, but hinders visibility in daylight. Requires electric charge to function, and will recharge when placed into a powered small equipment storage unit.	[$[action_equipment_use]] を押してズームインし, 遠くを見ます. 暗視ゴーグルでは暗い所がよく見えるようになりますが, 逆に明るい所は見えにくくなります. 使用するには充電が必要であり, 使用後は通電している保管庫で充電する必要があります.
def_inventory_equipment_night_vision_binoculars_s_desc		A small equipment storage unit containing a pair of night vision binoculars.	暗視ゴーグルが保管されている小型の保管庫です.
def_inventory_equipment_night_vision_binoculars_node_0_label		Electric	電力
def_inventory_equipment_night_vision_binoculars_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_oxygen_mask_name		Equipment inventory (Oxygen Mask)	保管庫 (小, 酸素マスク)
def_inventory_equipment_oxygen_mask_desc		Press [$[action_equipment_use]] to recover your breath while underwater. This equipment has a limited air capacity, and will refill when placed into a powered small equipment storage unit.	[$[action_equipment_use]] を押して水中でも酸素を吸入できます. 使用できる時間には限りがあり, 使用後は通電している保管庫で補充する必要があります.
def_inventory_equipment_oxygen_mask_s_desc		A small equipment storage unit containing an oxygen mask.	酸素マスクが保管されている小型の保管庫です.
def_inventory_equipment_oxygen_mask_node_0_label		Electric	電力
def_inventory_equipment_oxygen_mask_node_0_desc		Electrical power connection.	電力網から電力を供給します. 携帯品が保管されている時, その携帯品に充電が必要な場合は充電します.
def_inventory_equipment_pistol_name		Equipment inventory (Pistol)	保管庫 (小, 拳銃)
